Entity,Code,Year,TotalGrowth,Bottom40Growth,Population,Region
Argentina,ARG,2023,-2.69,-2.9,45538402,South America
Armenia,ARM,2023,-0.66,0.85,2943398,Asia
Australia,AUS,2018,-0.26,-0.49,25119700,Oceania
Austria,AUT,2022,1.54,1.36,9064678,Europe
Bangladesh,BGD,2016,1.54,1.35,160811934,Asia
Belarus,BLR,2020,2.6,3.32,9350943,Europe
Belgium,BEL,2022,1.14,2.05,11641814,Europe
Benin,BEN,2021,2.31,4.84,13413423,Africa
Bhutan,BTN,2017,1.67,1.63,754343,Asia
Bolivia,BOL,2023,1.6,2.63,12244161,South America
Botswana,BWA,2015,-0.79,-0.19,2203276,Africa
Brazil,BRA,2023,1.25,3.28,211140731,South America
Bulgaria,BGR,2022,7.07,8.42,6825862,Europe
Burkina Faso,BFA,2021,-1.1,3.17,21995249,Africa
Cameroon,CMR,2014,3.84,1.41,22059894,Africa
Canada,CAN,2020,1.75,4.18,38171903,North America
Chad,TCD,2022,0.53,0.01,18455319,Africa
Chile,CHL,2022,2.17,3.14,19553033,South America
China,CHN,2021,5.19,7.21,1426437269,Asia
Colombia,COL,2020,-2.65,-4.61,50629997,South America
Congo,COG,2011,4.65,3.35,4609728,Africa
Costa Rica,CRI,2024,1.9,2.89,5105526,North America
Cote d'Ivoire,CIV,2021,-0.67,1.21,29639737,Africa
Croatia,HRV,2022,5.14,5.65,3907031,Europe
Cyprus,CYP,2022,2.43,2.59,1331376,Europe
Czechia,CZE,2022,1.95,1.39,10673216,Europe
Democratic Republic of Congo,COD,2012,9.8,9.57,73254623,Africa
Denmark,DNK,2022,0.42,0.3,5902901,Europe
Dominican Republic,DOM,2023,-0.01,1.94,11331269,North America
Ecuador,ECU,2023,-0.96,-0.8,17980079,South America
Egypt,EGY,2021,1.95,3.58,110957005,Africa
El Salvador,SLV,2023,3.62,2.69,6309629,North America
Estonia,EST,2022,2.34,1.53,1350093,Europe
Eswatini,SWZ,2016,6.14,4.66,1149516,Africa
Ethiopia,ETH,2021,-2.4,-0.94,122138588,Africa
Fiji,FJI,2013,-0.51,1.18,916359,Oceania
Finland,FIN,2022,0.53,0.32,5569300,Europe
France,FRA,2022,-0.33,-0.55,66277412,Europe
Gambia,GMB,2020,-0.06,-1.77,2515744,Africa
Georgia,GEO,2023,3.66,4.78,3807494,Asia
Germany,DEU,2020,2.86,2.43,83628711,Europe
Ghana,GHA,2016,1.27,-0.19,29356736,Africa
Greece,GRC,2022,3.34,4.25,10412481,Europe
Guinea,GIN,2012,5.02,8.22,10921580,Africa
Guinea-Bissau,GNB,2021,-2.35,-1.77,2058841,Africa
Honduras,HND,2023,0.17,1.48,10644853,North America
Hungary,HUN,2022,5.46,5.73,9684308,Europe
Iceland,ISL,2017,5.26,5.63,343537,Europe
Indonesia,IDN,2024,1.87,2.72,281190068,Asia
Iran,IRN,2022,-0.98,-0.12,89524247,Asia
Iraq,IRQ,2012,1.11,0.46,33654843,Asia
Ireland,IRL,2022,1.92,2.63,5110015,Europe
Israel,ISR,2021,1.03,1.84,8942925,Asia
Italy,ITA,2022,1.23,2.56,59619106,Europe
Jamaica,JAM,2021,2.27,-3.2,2837680,North America
Japan,JPN,2020,0.36,-0.71,126304533,Asia
Jordan,JOR,2010,5.77,4.56,7297046,Asia
Kazakhstan,KAZ,2021,4.18,3.68,19743607,Asia
Kenya,KEN,2021,-3.09,-1.18,53219167,Africa
Kyrgyzstan,KGZ,2022,2.09,2.23,6955792,Asia
Laos,LAO,2018,3.07,1.91,7128043,Asia
Latvia,LVA,2022,3.43,4.64,1881059,Europe
Lithuania,LTU,2022,5.27,6.11,2816923,Europe
Luxembourg,LUX,2022,3.65,3.82,653315,Europe
Malawi,MWI,2019,-6.11,-2.96,19025748,Africa
Malaysia,MYS,2021,3.06,3.22,34282404,Asia
Mali,MLI,2021,-3.99,-3.33,22388637,Africa
Malta,MLT,2022,4.42,2.09,528194,Europe
Mauritania,MRT,2019,-0.08,0.31,4467714,Africa
Mauritius,MUS,2017,2.02,2.71,1290654,Africa
Mexico,MEX,2022,1.95,3.64,128613116,North America
Moldova,MDA,2022,-2.46,-2.14,3039986,Europe
Mongolia,MNG,2018,3.11,2.48,3167714,Asia
Montenegro,MNE,2021,1.31,3.67,603854,Europe
Mozambique,MOZ,2019,-5.56,-4.21,29884378,Africa
Myanmar,MMR,2017,1.28,9.46,51894939,Asia
Namibia,NAM,2015,6.64,5.73,2374305,Africa
Netherlands,NLD,2021,1.77,2.86,17730565,Europe
Nicaragua,NIC,2014,6.52,5.64,6066493,North America
Niger,NER,2021,-1.97,1.59,24502145,Africa
North Macedonia,MKD,2019,5.25,5.77,1897643,Europe
Norway,NOR,2022,0.13,0.23,5456796,Europe
Pakistan,PAK,2018,1.25,1.34,226928893,Asia
Palestine,PSE,2023,0.56,-0.59,5409201,Asia
Panama,PAN,2023,-1.43,-1.04,4458758,North America
Paraguay,PRY,2021,-1.24,1.74,6684184,South America
Peru,PER,2023,-1.86,-0.63,33845616,South America
Philippines,PHL,2023,-0.05,1.78,114891199,Asia
Poland,POL,2022,5.21,5.77,38385734,Europe
Portugal,PRT,2022,3.4,2.36,10417074,Europe
Romania,ROU,2022,8.85,11.42,19166776,Europe
Russia,RUS,2021,0.38,1.61,145836172,Europe
Rwanda,RWA,2016,-0.16,0.31,11919183,Africa
Senegal,SEN,2021,-1.09,0.41,17220866,Africa
Serbia,SRB,2022,7.77,10.5,6791215,Europe
Seychelles,SYC,2018,-1.57,3.55,115053,Africa
Sierra Leone,SLE,2018,2.86,2.67,7554568,Africa
Slovakia,SVK,2022,-1.31,-2.01,5473195,Europe
Slovenia,SVN,2022,3.72,3.81,2115231,Europe
South Africa,ZAF,2014,-1.25,-1.36,55594840,Africa
South Korea,KOR,2021,3.71,5.11,51848401,Asia
Spain,ESP,2022,1.6,2.35,47828386,Europe
Sri Lanka,LKA,2019,0.65,1.74,22410552,Asia
Sweden,SWE,2022,1.08,-0.09,10487335,Europe
Switzerland,CHE,2021,0.6,0.28,8707019,Europe
Tajikistan,TJK,2015,2.67,1.32,8643839,Asia
Tanzania,TZA,2018,0.92,-0.15,57437134,Africa
Thailand,THA,2023,1.79,3.36,71702436,Asia
Togo,TGO,2021,-2.59,1.52,7936185,Africa
Tonga,TON,2015,-3.7,-1.82,106110,Oceania
Tunisia,TUN,2021,1.03,0.87,12048625,Africa
Turkey,TUR,2022,4.09,3.78,87058469,Asia
Uganda,UGA,2019,-0.1,0.21,42999636,Africa
United Arab Emirates,ARE,2018,1.84,7.08,9346870,Asia
United Kingdom,GBR,2021,0.56,0.85,67668788,Europe
United States,USA,2023,1.04,0.91,343477330,North America
Uruguay,URY,2019,0.0,0.33,3397206,South America
Vietnam,VNM,2022,2.78,2.61,99680656,Asia
Zambia,ZMB,2022,-2.3,0.05,20152935,Africa
Zimbabwe,ZWE,2019,1.03,-7.32,15271377,Africa
