Entity,Code,StartYear,EndYear,LatestMean,LatestMedian,LatestGap,LatestGapRatio
Albania,ALB,1996,2020,14.8471575,12.8386011123657,2.0085563876343002,0.13528221732909482
Armenia,ARM,1999,2024,9.80472183,8.54555702209472,1.2591648079052806,0.12842432755741737
Australia,AUS,1981,2020,72.7112198,59.7066001892089,13.004619610791096,0.17885299746808947
Austria,AUT,1994,2023,81.6312408,71.4395065307617,10.191734269238296,0.12485090474379137
Bangladesh,BGD,1983,2022,7.51024199,6.17493867874145,1.3353033112585502,0.17779764127927258
Belarus,BLR,1998,2020,20.5472126,18.3853340148925,2.1618785851075017,0.10521517576099357
Belgium,BEL,1985,2023,69.9236145,62.88720703125,7.036407468749999,0.1006299162173603
Benin,BEN,2003,2021,5.2668376,4.20006656646728,1.0667710335327198,0.20254488832781173
Bhutan,BTN,2003,2022,18.7418861,16.4896068572998,2.2522792427001974,0.12017356367885501
Bolivia,BOL,1997,2024,22.1416721,16.8191146850585,5.3225574149415,0.24038642569101631
Bosnia and Herzegovina,BIH,2001,2021,18.3929386,15.7931480407714,2.5997905592286,0.14134721024016247
Brazil,BRA,1981,2024,26.5450954,16.9121055603027,9.632989839697302,0.3628915132735707
Bulgaria,BGR,1992,2023,39.4115982,30.1827220916748,9.2288761083252,0.23416650249735874
Burkina Faso,BFA,1994,2021,4.47209597,3.37372851371765,1.0983674562823498,0.24560462558283377
Burundi,BDI,1992,2020,2.61712742,2.00741958618164,0.6097078338183599,0.2329683412274821
Cameroon,CMR,1996,2021,6.85378742,4.98541450500488,1.8683729149951196,0.272604444885908
Canada,CAN,1971,2022,75.7344742,64.7212753295898,11.013198870410193,0.14541856910931314
Chile,CHL,1987,2024,35.3600655,24.5706577301025,10.789407769897498,0.30512974501977375
China,CHN,1981,2022,17.2153187,13.3631553649902,3.8521633350098003,0.22376369570258378
Colombia,COL,1992,2024,19.7135925,11.2783603668212,8.4352321331788,0.42788913959638764
Costa Rica,CRI,1981,2025,34.095993,23.3897438049316,10.706249195068398,0.31400314972696053
Cote d'Ivoire,CIV,1985,2021,6.07773733,4.75888299942016,1.31885433057984,0.21699758626782248
Croatia,HRV,1988,2023,41.3541222,36.7349395751953,4.619182624804701,0.11169823899211433
Cyprus,CYP,2004,2023,63.3751907,52.1396522521972,11.235538447802796,0.1772860692599509
Czechia,CZE,1992,2023,43.3493614,39.0691299438476,4.2802314561524,0.09873805098666114
