Entity,Code,Year,Median
Albania,ALB,1996,7.41933012008667
Albania,ALB,2002,7.11715364456176
Albania,ALB,2005,8.30011081695556
Albania,ALB,2008,8.93903255462646
Albania,ALB,2012,8.76896667480468
Albania,ALB,2014,8.82748508453369
Albania,ALB,2015,10.6873445510864
Albania,ALB,2016,10.9340114593505
Albania,ALB,2017,10.8411607742309
Albania,ALB,2018,12.3866252899169
Albania,ALB,2019,12.3563480377197
Albania,ALB,2020,12.8386011123657
Algeria,DZA,1988,6.293221950531
Algeria,DZA,1995,6.51800823211669
Algeria,DZA,2011,9.11427593231201
Angola,AGO,2000,5.30038022994995
Angola,AGO,2008,5.33415794372558
Angola,AGO,2018,3.87951040267944
Armenia,ARM,1999,4.51300859451293
Armenia,ARM,2001,4.33529138565063
Armenia,ARM,2002,4.54686737060546
Armenia,ARM,2003,4.79028892517089
Armenia,ARM,2004,5.5517463684082
Armenia,ARM,2005,6.25057697296142
Armenia,ARM,2006,6.71003627777099
Armenia,ARM,2007,7.35342741012573
Armenia,ARM,2008,7.65439319610595
Armenia,ARM,2009,6.84703540802001
Armenia,ARM,2010,6.80652570724487
Armenia,ARM,2011,7.10548448562622
Armenia,ARM,2012,7.32522201538085
Armenia,ARM,2013,7.58323717117309
Armenia,ARM,2014,7.7391676902771
Armenia,ARM,2015,8.17016410827636
Armenia,ARM,2016,8.86373710632324
Armenia,ARM,2017,8.01129817962646
Armenia,ARM,2018,7.97196817398071
Armenia,ARM,2019,7.71723222732543
Armenia,ARM,2020,7.60853958129882
Armenia,ARM,2021,7.74930238723754
Armenia,ARM,2022,7.71916818618774
Armenia,ARM,2023,7.7260251045227
Armenia,ARM,2024,8.54555702209472
Australia,AUS,1981,35.0846138000488
Australia,AUS,1985,35.6317329406738
Australia,AUS,1989,36.5602684020996
Australia,AUS,1995,33.6457214355468
Australia,AUS,2001,38.2023735046386
Australia,AUS,2003,39.4569854736328
Australia,AUS,2004,43.2487411499023
Australia,AUS,2008,52.581199645996
Australia,AUS,2010,53.3897285461425
Australia,AUS,2014,56.7467536926269
Australia,AUS,2016,56.4189567565918
Australia,AUS,2018,57.607322692871
Australia,AUS,2020,59.7066001892089
Austria,AUT,1994,53.0198059082031
Austria,AUT,1995,53.0645637512207
Austria,AUT,1996,50.9010314941406
Austria,AUT,1997,51.4190216064453
Austria,AUT,1998,52.0222663879394
Austria,AUT,1999,54.7422943115234
Austria,AUT,2000,53.4000968933105
Austria,AUT,2003,56.889102935791
Austria,AUT,2004,59.6846046447753
Austria,AUT,2005,57.865966796875
Austria,AUT,2006,58.128074645996
Austria,AUT,2007,60.7510871887207
Austria,AUT,2008,62.8422660827636
Austria,AUT,2009,64.2022628784179
Austria,AUT,2010,65.3712844848632
Austria,AUT,2011,63.6200714111328
Austria,AUT,2012,62.6737442016601
Austria,AUT,2013,64.6502304077148
Austria,AUT,2014,64.7715682983398
Austria,AUT,2015,65.393684387207
Austria,AUT,2016,67.7835464477539
Austria,AUT,2017,67.8244705200195
Austria,AUT,2018,67.0902862548828
Austria,AUT,2019,68.555679321289
Austria,AUT,2020,70.2928771972656
Austria,AUT,2021,69.2878799438476
Austria,AUT,2022,72.6764450073242
Austria,AUT,2023,71.4395065307617
Azerbaijan,AZE,1995,5.00287628173828
Azerbaijan,AZE,2001,5.68861579895019
Azerbaijan,AZE,2002,8.06226348876953
Azerbaijan,AZE,2003,8.40511035919189
Azerbaijan,AZE,2004,8.45869445800781
Azerbaijan,AZE,2005,9.34951877593994
Bangladesh,BGD,1983,3.08853459358215
Bangladesh,BGD,1985,3.28221750259399
Bangladesh,BGD,1988,2.96319556236267
Bangladesh,BGD,1991,2.95570611953735
Bangladesh,BGD,1995,3.25328493118286
Bangladesh,BGD,2000,3.34251546859741
Bangladesh,BGD,2005,3.71802830696105
Bangladesh,BGD,2010,4.07488584518432
Bangladesh,BGD,2016,4.49589824676513
Bangladesh,BGD,2022,6.17493867874145
Belarus,BLR,1998,3.53064894676208
Belarus,BLR,1999,3.81230330467224
Belarus,BLR,2000,4.24523067474365
Belarus,BLR,2001,5.28605604171752
Belarus,BLR,2002,5.82030582427978
Belarus,BLR,2003,6.11356592178344
Belarus,BLR,2004,6.99819707870483
Belarus,BLR,2005,8.56560611724853
Belarus,BLR,2006,9.81990051269531
Belarus,BLR,2007,11.0769348144531
Belarus,BLR,2008,11.7497940063476
Belarus,BLR,2009,11.9013843536376
Belarus,BLR,2010,13.1476764678955
Belarus,BLR,2011,13.7834901809692
Belarus,BLR,2012,15.5552892684936
Belarus,BLR,2013,17.1327037811279
Belarus,BLR,2014,17.7469120025634
Belarus,BLR,2015,16.2433128356933
Belarus,BLR,2016,15.514868736267
Belarus,BLR,2017,15.9942226409912
Belarus,BLR,2018,17.1177997589111
Belarus,BLR,2019,18.2747001647949
Belarus,BLR,2020,18.3853340148925
Belgium,BEL,1985,35.9279708862304
Belgium,BEL,1988,37.7749786376953
Belgium,BEL,1992,41.0101814270019
Belgium,BEL,1995,47.5015640258789
Belgium,BEL,1997,47.0695533752441
Belgium,BEL,2000,51.3695793151855
Belgium,BEL,2003,50.6942176818847
Belgium,BEL,2004,52.3388938903808
Belgium,BEL,2005,53.1500205993652
Belgium,BEL,2006,53.2509117126464
Belgium,BEL,2007,53.782901763916
Belgium,BEL,2008,54.8270454406738
Belgium,BEL,2009,55.6280784606933
Belgium,BEL,2010,55.9148063659668
Belgium,BEL,2011,55.1358680725097
Belgium,BEL,2012,56.7433357238769
Belgium,BEL,2013,56.7791519165039
Belgium,BEL,2014,56.9095001220703
Belgium,BEL,2015,58.5614433288574
Belgium,BEL,2016,57.9566383361816
Belgium,BEL,2017,58.1185226440429
Belgium,BEL,2018,59.4409446716308
Belgium,BEL,2019,61.0438003540039
Belgium,BEL,2020,61.5211753845214
Belgium,BEL,2021,63.2095375061035
Belgium,BEL,2022,61.0368881225585
Belgium,BEL,2023,62.88720703125
Benin,BEN,2003,2.16499471664428
Benin,BEN,2011,2.08868098258972
Benin,BEN,2015,2.22931003570556
Benin,BEN,2018,3.65464425086975
Benin,BEN,2021,4.20006656646728
Bhutan,BTN,2003,4.85452651977539
Bhutan,BTN,2007,6.31700325012207
Bhutan,BTN,2012,8.46435356140136
Bhutan,BTN,2017,9.46780586242675
Bhutan,BTN,2022,16.4896068572998
Bolivia,BOL,1997,8.40878963470459
Bolivia,BOL,1999,7.73398685455322
Bolivia,BOL,2000,6.57548379898071
Bolivia,BOL,2001,7.41622018814086
Bolivia,BOL,2002,7.04876565933227
Bolivia,BOL,2004,8.42747688293457
Bolivia,BOL,2005,8.42750263214111
Bolivia,BOL,2006,9.3539113998413
Bolivia,BOL,2007,9.83908462524414
Bolivia,BOL,2008,11.3828878402709
Bolivia,BOL,2009,12.8659572601318
Bolivia,BOL,2011,14.537914276123
Bolivia,BOL,2012,15.029052734375
Bolivia,BOL,2013,16.1452198028564
Bolivia,BOL,2014,16.0251922607421
Bolivia,BOL,2015,15.8031167984008
Bolivia,BOL,2016,15.5992565155029
Bolivia,BOL,2017,15.8951139450073
Bolivia,BOL,2018,15.9648122787475
Bolivia,BOL,2019,16.6042194366455
Bolivia,BOL,2020,15.856798171997
Bolivia,BOL,2021,16.8518257141113
Bolivia,BOL,2022,16.4118900299072
Bolivia,BOL,2023,16.849889755249
Bolivia,BOL,2024,16.8191146850585
Bosnia and Herzegovina,BIH,2001,12.2689371109008
Bosnia and Herzegovina,BIH,2004,17.7178153991699
Bosnia and Herzegovina,BIH,2007,15.6082334518432
Bosnia and Herzegovina,BIH,2011,15.0942678451538
Bosnia and Herzegovina,BIH,2015,14.3793888092041
Bosnia and Herzegovina,BIH,2021,15.7931480407714
Botswana,BWA,1985,2.99045848846435
Botswana,BWA,1993,3.63566851615905
Botswana,BWA,2002,4.29797458648681
Botswana,BWA,2009,6.10413217544555
Botswana,BWA,2015,5.83431196212768
Brazil,BRA,1981,4.990562915802
Brazil,BRA,1982,5.02579689025878
Brazil,BRA,1983,4.12591838836669
Brazil,BRA,1984,4.15343141555786
Brazil,BRA,1985,4.72894239425659
Brazil,BRA,1986,7.92946767807006
Brazil,BRA,1987,6.05004739761352
Brazil,BRA,1988,5.67139911651611
Brazil,BRA,1989,6.10560750961303
Brazil,BRA,1990,5.26246166229248
Brazil,BRA,1992,5.29222297668457
Brazil,BRA,1993,5.43998670578002
Brazil,BRA,1995,7.22576475143432
Brazil,BRA,1996,7.3366150856018
Brazil,BRA,1997,7.25657510757446
Brazil,BRA,1998,7.52586698532104
Brazil,BRA,1999,7.23475837707519
Brazil,BRA,2001,8.2352294921875
Brazil,BRA,2002,8.34197235107421
Brazil,BRA,2003,8.11392879486084
Brazil,BRA,2004,8.36491012573242
Brazil,BRA,2005,8.84852695465087
Brazil,BRA,2006,9.63921642303466
Brazil,BRA,2007,10.3280000686645
Brazil,BRA,2008,11.0454730987548
Brazil,BRA,2009,11.5378513336181
Brazil,BRA,2011,12.7049541473388
Brazil,BRA,2012,13.4333810806274
Brazil,BRA,2013,14.1304693222045
Brazil,BRA,2014,14.6452465057373
Brazil,BRA,2015,14.2334461212158
Brazil,BRA,2016,13.829490661621
Brazil,BRA,2017,13.9031257629394
Brazil,BRA,2018,14.2266206741333
Brazil,BRA,2019,14.6619892120361
Brazil,BRA,2020,15.3647871017456
Brazil,BRA,2021,13.2002267837524
Brazil,BRA,2022,14.8328714370727
Brazil,BRA,2023,15.770785331726
Brazil,BRA,2024,16.9121055603027
Bulgaria,BGR,1992,20.136791229248
Bulgaria,BGR,2006,10.4442815780639
Bulgaria,BGR,2007,14.1384716033935
Bulgaria,BGR,2008,16.1093559265136
Bulgaria,BGR,2009,16.9918880462646
Bulgaria,BGR,2010,16.0191574096679
Bulgaria,BGR,2011,15.1486415863037
Bulgaria,BGR,2012,15.443790435791
Bulgaria,BGR,2013,17.239273071289
Bulgaria,BGR,2014,17.8915729522705
Bulgaria,BGR,2015,17.0000648498535
Bulgaria,BGR,2016,19.4526119232177
Bulgaria,BGR,2017,19.1801815032959
Bulgaria,BGR,2018,21.5598163604736
Bulgaria,BGR,2019,22.9308910369873
Bulgaria,BGR,2020,25.0854377746582
Bulgaria,BGR,2021,25.7229824066162
Bulgaria,BGR,2022,27.5930881500244
Bulgaria,BGR,2023,30.1827220916748
Burkina Faso,BFA,1994,1.03468739986419
Burkina Faso,BFA,1998,1.25783395767211
Burkina Faso,BFA,2003,2.04607939720153
Burkina Faso,BFA,2009,2.21969985961914
Burkina Faso,BFA,2014,2.64686918258667
Burkina Faso,BFA,2018,3.11776113510131
Burkina Faso,BFA,2021,3.37372851371765
Burundi,BDI,1992,1.63730812072753
Burundi,BDI,1998,1.40167617797851
Burundi,BDI,2006,1.71329355239868
Burundi,BDI,2013,1.901096701622
Burundi,BDI,2020,2.00741958618164
Cameroon,CMR,1996,2.69569110870361
Cameroon,CMR,2001,4.21639919281005
Cameroon,CMR,2007,3.89612460136413
Cameroon,CMR,2014,4.96067905426025
Cameroon,CMR,2021,4.98541450500488
Canada,CAN,1971,29.2185745239257
Canada,CAN,1973,33.7350807189941
Canada,CAN,1975,37.8171806335449
Canada,CAN,1977,40.3991737365722
Canada,CAN,1979,42.0492286682128
Canada,CAN,1981,43.7906417846679
Canada,CAN,1982,42.8984031677246
Canada,CAN,1984,42.9560737609863
Canada,CAN,1985,44.1183853149414
Canada,CAN,1986,44.4195404052734
Canada,CAN,1987,45.4355735778808
Canada,CAN,1988,46.3433151245117
Canada,CAN,1989,47.6863822937011
Canada,CAN,1990,47.6265983581543
Canada,CAN,1991,45.6916236877441
Canada,CAN,1992,46.298355102539
Canada,CAN,1993,44.9681205749511
Canada,CAN,1994,45.9652786254882
Canada,CAN,1995,45.9451828002929
Canada,CAN,1996,43.2731857299804
Canada,CAN,1997,43.7709579467773
Canada,CAN,1998,45.1311798095703
Canada,CAN,1999,46.7059898376464
Canada,CAN,2000,47.8973007202148
Canada,CAN,2001,49.3466415405273
Canada,CAN,2002,49.71923828125
Canada,CAN,2003,49.7650680541992
Canada,CAN,2004,50.9368743896484
Canada,CAN,2005,52.4268760681152
Canada,CAN,2006,52.8949699401855
Canada,CAN,2007,55.1700744628906
Canada,CAN,2008,56.4584922790527
Canada,CAN,2009,56.6804771423339
Canada,CAN,2010,56.8891334533691
Canada,CAN,2011,57.7559967041015
Canada,CAN,2012,58.6829719543457
Canada,CAN,2013,59.7728576660156
Canada,CAN,2014,60.0985298156738
Canada,CAN,2015,59.9798889160156
Canada,CAN,2016,60.1439094543457
Canada,CAN,2017,61.8666305541992
Canada,CAN,2018,62.1662483215332
Canada,CAN,2019,62.8805770874023
Canada,CAN,2020,67.0817565917968
Canada,CAN,2021,66.3290252685546
Canada,CAN,2022,64.7212753295898
Cape Verde,CPV,2001,3.92594408988952
Cape Verde,CPV,2007,4.89495086669921
Cape Verde,CPV,2015,6.17727899551391
Central African Republic,CAF,1992,0.847716510295867
Central African Republic,CAF,2008,2.05779457092285
Central African Republic,CAF,2021,1.92457199096679
Chad,TCD,2003,2.1755928993225
Chad,TCD,2011,3.34347462654113
Chad,TCD,2018,3.39327478408813
Chad,TCD,2022,3.6611099243164
Chile,CHL,1987,5.84825801849365
Chile,CHL,1990,6.80035638809204
Chile,CHL,1992,7.69090795516967
Chile,CHL,1994,8.35095882415771
Chile,CHL,1996,9.3541784286499
Chile,CHL,1998,9.92899703979492
Chile,CHL,2000,9.32199954986572
Chile,CHL,2003,9.49788475036621
Chile,CHL,2006,11.6191682815551
Chile,CHL,2009,12.5505352020263
Chile,CHL,2011,13.4434843063354
Chile,CHL,2013,16.4240322113037
Chile,CHL,2015,17.7959995269775
Chile,CHL,2017,19.5099124908447
Chile,CHL,2020,19.1102867126464
Chile,CHL,2022,22.6423892974853
Chile,CHL,2024,24.5706577301025
China,CHN,1981,1.13724148273468
China,CHN,1984,1.55229914188385
China,CHN,1987,1.88323581218719
China,CHN,1990,1.72582697868347
China,CHN,1993,1.88497364521026
China,CHN,1996,2.4672212600708
China,CHN,1999,2.568204164505
China,CHN,2002,3.11516213417053
China,CHN,2005,4.13980150222778
China,CHN,2008,5.02405929565429
China,CHN,2010,5.84128713607788
China,CHN,2011,6.39209699630737
China,CHN,2012,7.04678630828857
China,CHN,2013,8.05449962615966
China,CHN,2014,8.7998342514038
China,CHN,2015,9.48426723480224
China,CHN,2016,10.1059007644653
China,CHN,2017,10.5734634399414
China,CHN,2018,11.3343334197998
China,CHN,2019,11.9609184265136
China,CHN,2020,11.5918569564819
China,CHN,2021,13.3923263549804
China,CHN,2022,13.3631553649902
Colombia,COL,1992,6.71379375457763
Colombia,COL,1996,5.64847040176391
Colombia,COL,1999,5.20259761810302
Colombia,COL,2000,5.71521520614624
Colombia,COL,2001,4.90149307250976
Colombia,COL,2002,6.09494304656982
Colombia,COL,2003,6.17135906219482
Colombia,COL,2004,6.18617153167724
Colombia,COL,2005,6.7698426246643
Colombia,COL,2008,7.70356369018554
Colombia,COL,2009,7.84322834014892
Colombia,COL,2010,8.30893898010253
Colombia,COL,2011,8.8930025100708
Colombia,COL,2012,9.06436920166015
Colombia,COL,2013,9.50625419616699
Colombia,COL,2014,10.0257730484008
Colombia,COL,2015,10.1333427429199
Colombia,COL,2016,10.1182708740234
Colombia,COL,2017,10.2113027572631
Colombia,COL,2018,10.2393159866333
Colombia,COL,2019,10.1122283935546
Colombia,COL,2020,8.60494422912597
Colombia,COL,2021,9.49801254272461
Colombia,COL,2022,10.3469991683959
Colombia,COL,2023,10.6731882095336
Colombia,COL,2024,11.2783603668212
Comoros,COM,2004,5.05773019790649
Comoros,COM,2014,4.36834573745727
Comoros,COM,2020,5.85977220535278
Comoros,COM,2024,6.47852182388305
Congo,COG,2005,2.73321390151977
Congo,COG,2011,3.76484417915344
Costa Rica,CRI,1981,4.57002449035644
Costa Rica,CRI,1986,6.07555198669433
Costa Rica,CRI,1989,7.92718696594238
Costa Rica,CRI,1990,8.10496139526367
Costa Rica,CRI,1991,7.3328857421875
Costa Rica,CRI,1992,7.73777627944946
Costa Rica,CRI,1993,8.91122913360595
Costa Rica,CRI,1994,9.92291927337646
Costa Rica,CRI,1995,9.6435489654541
Costa Rica,CRI,1996,8.99386119842529
Costa Rica,CRI,1997,9.62919235229492
Costa Rica,CRI,1998,10.60338306427
Costa Rica,CRI,1999,10.0573377609252
Costa Rica,CRI,2000,10.0531873703002
Costa Rica,CRI,2001,12.3654356002807
Costa Rica,CRI,2002,12.3748874664306
Costa Rica,CRI,2003,12.9011039733886
Costa Rica,CRI,2004,12.2437181472778
Costa Rica,CRI,2005,12.8057928085327
Costa Rica,CRI,2006,12.8538980484008
Costa Rica,CRI,2007,14.1829347610473
Costa Rica,CRI,2008,14.4636192321777
Costa Rica,CRI,2009,15.3564376831054
Costa Rica,CRI,2010,16.27734375
Costa Rica,CRI,2011,16.7943935394287
Costa Rica,CRI,2012,17.3670768737792
Costa Rica,CRI,2013,17.2570400238037
Costa Rica,CRI,2014,17.3514614105224
Costa Rica,CRI,2015,17.2679061889648
Costa Rica,CRI,2016,17.9809513092041
Costa Rica,CRI,2017,18.1558189392089
Costa Rica,CRI,2018,18.1879158020019
Costa Rica,CRI,2019,17.7878360748291
Costa Rica,CRI,2020,15.213490486145
Costa Rica,CRI,2021,17.4510822296142
Costa Rica,CRI,2022,17.3806934356689
Costa Rica,CRI,2023,18.9176139831542
Costa Rica,CRI,2024,20.9240474700927
Costa Rica,CRI,2025,23.3897438049316
Cote d'Ivoire,CIV,1985,6.84576272964477
Cote d'Ivoire,CIV,1986,6.27162170410156
Cote d'Ivoire,CIV,1987,5.58531618118286
Cote d'Ivoire,CIV,1988,4.58327579498291
Cote d'Ivoire,CIV,1992,3.67547488212585
Cote d'Ivoire,CIV,1995,3.70170974731445
Cote d'Ivoire,CIV,1998,3.25864267349243
Cote d'Ivoire,CIV,2008,3.18414211273193
Cote d'Ivoire,CIV,2015,3.19423770904541
Cote d'Ivoire,CIV,2018,4.85116624832153
Cote d'Ivoire,CIV,2021,4.75888299942016
Croatia,HRV,1988,23.9361820220947
Croatia,HRV,2009,23.2051525115966
Croatia,HRV,2010,21.4173889160156
Croatia,HRV,2011,20.9082050323486
