Entity,Code,Year,Mean,Median,Gap,GapRatio
Albania,ALB,1996,8.44203186,7.41933012008667,1.0227017399133302,0.12114402751298432
Albania,ALB,2002,8.62833309,7.11715364456176,1.5111794454382403,0.17514152845926353
Albania,ALB,2005,9.75392818,8.30011081695556,1.4538173630444415,0.1490494225726851
Albania,ALB,2008,10.6820698,8.93903255462646,1.7430372453735412,0.16317411119833172
Albania,ALB,2012,10.127717,8.76896667480468,1.3587503251953201,0.13416156130698756
Albania,ALB,2014,10.7918272,8.82748508453369,1.9643421154663105,0.18202127212213984
Albania,ALB,2015,13.0307407,10.6873445510864,2.3433961489136017,0.1798359895929478
Albania,ALB,2016,13.3358774,10.9340114593505,2.4018659406494987,0.18010558050342446
Albania,ALB,2017,13.2073412,10.8411607742309,2.3661804257691,0.17915645472754954
Albania,ALB,2018,14.1706982,12.3866252899169,1.7840729100831005,0.12589873024626977
Albania,ALB,2019,14.6318169,12.3563480377197,2.2754688622803005,0.15551512692045105
Albania,ALB,2020,14.8471575,12.8386011123657,2.0085563876343002,0.13528221732909482
Armenia,ARM,1999,5.86291838,4.51300859451293,1.3499097854870703,0.23024536553194697
Armenia,ARM,2001,5.57089663,4.33529138565063,1.2356052443493697,0.22179647665610513
Armenia,ARM,2002,5.84368277,4.54686737060546,1.2968153993945402,0.22191748772744216
Armenia,ARM,2003,6.00604582,4.79028892517089,1.2157568948291093,0.20242218112633537
Armenia,ARM,2004,7.4464407,5.5517463684082,1.8946943315918006,0.2544429490443401
Armenia,ARM,2005,8.20503616,6.25057697296142,1.954459187038581,0.23820238557468842
Armenia,ARM,2006,7.91986847,6.71003627777099,1.20983219222901,0.15275912684810156
Armenia,ARM,2007,8.8219862,7.35342741012573,1.4685587898742698,0.16646577727295356
Armenia,ARM,2008,9.01701069,7.65439319610595,1.3626174938940494,0.1511163223312148
Armenia,ARM,2009,8.01420784,6.84703540802001,1.1671724319799894,0.14563790399276563
Armenia,ARM,2010,8.18207455,6.80652570724487,1.375548842755129,0.16811736856579107
Armenia,ARM,2011,8.35253239,7.10548448562622,1.2470479043737805,0.1493017741382001
Armenia,ARM,2012,8.65269852,7.32522201538085,1.32747650461915,0.15341763052888036
Armenia,ARM,2013,8.97810459,7.58323717117309,1.3948674188269088,0.15536324007414007
Armenia,ARM,2014,9.20832157,7.7391676902771,1.4691538797229011,0.15954632649985756
Armenia,ARM,2015,9.87149525,8.17016410827636,1.7013311417236405,0.17234786611720654
Armenia,ARM,2016,10.3921566,8.86373710632324,1.5284194936767594,0.14707433235530337
Armenia,ARM,2017,10.1108513,8.01129817962646,2.0995531203735407,0.20765344658698923
Armenia,ARM,2018,10.1083403,7.97196817398071,2.13637212601929,0.21134746779540947
Armenia,ARM,2019,9.08772182,7.71723222732543,1.3704895926745708,0.15080672800287925
Armenia,ARM,2020,8.58977985,7.60853958129882,0.9812402687011792,0.11423345951074396
Armenia,ARM,2021,8.94155884,7.74930238723754,1.1922564527624608,0.1333387694580625
Armenia,ARM,2022,8.86471748,7.71916818618774,1.1455492938122598,0.12922569685912424
Armenia,ARM,2023,8.84850311,7.7260251045227,1.1224780054772996,0.12685512922617934
Armenia,ARM,2024,9.80472183,8.54555702209472,1.2591648079052806,0.12842432755741737
Australia,AUS,1981,41.7145081,35.0846138000488,6.629894299951204,0.15893497495062642
Australia,AUS,1985,43.1035385,35.6317329406738,7.471805559326199,0.17334552612951254
Australia,AUS,1989,44.2985535,36.5602684020996,7.738285097900395,0.17468482572236574
Australia,AUS,1995,40.79105,33.6457214355468,7.145328564453202,0.1751690276286882
Australia,AUS,2001,46.9962845,38.2023735046386,8.7939109953614,0.1871192816394113
Australia,AUS,2003,48.4661636,39.4569854736328,9.009178126367203,0.1858859347878569
Australia,AUS,2004,52.7492599,43.2487411499023,9.500518750097697,0.18010714781796772
Australia,AUS,2008,66.6945648,52.581199645996,14.113365154003993,0.21161192364514828
Australia,AUS,2010,66.4544754,53.3897285461425,13.064746853857507,0.1965969451300116
Australia,AUS,2014,71.0417633,56.7467536926269,14.295009607373096,0.20121980287858504
Australia,AUS,2016,69.401001,56.4189567565918,12.982044243408197,0.18705845818287545
Australia,AUS,2018,70.2994919,57.607322692871,12.692169207129005,0.1805442523707487
Australia,AUS,2020,72.7112198,59.7066001892089,13.004619610791096,0.17885299746808947
Austria,AUT,1994,62.7938423,53.0198059082031,9.774036391796905,0.15565278431444074
Austria,AUT,1995,61.4581871,53.0645637512207,8.3936233487793,0.13657453538487632
Austria,AUT,1996,58.9655571,50.9010314941406,8.064525605859401,0.13676671607092136
Austria,AUT,1997,58.9066315,51.4190216064453,7.487609893554705,0.12710979566968966
Austria,AUT,1998,61.7680321,52.0222663879394,9.745765712060596,0.1577800907803342
Austria,AUT,1999,63.6050606,54.7422943115234,8.8627662884766,0.13934058398612073
Austria,AUT,2000,61.8157539,53.4000968933105,8.4156570066895,0.1361409750062031
Austria,AUT,2003,65.6081314,56.889102935791,8.719028464209003,0.13289554630127756
Austria,AUT,2004,69.2368622,59.6846046447753,9.552257555224706,0.13796491134493824
Austria,AUT,2005,66.1723633,57.865966796875,8.306396503125,0.1255266713910005
Austria,AUT,2006,67.7436752,58.128074645996,9.615600554003997,0.1419409343472407
Austria,AUT,2007,70.556076,60.7510871887207,9.804988811279301,0.138967320281237
Austria,AUT,2008,71.7359161,62.8422660827636,8.893650017236396,0.12397764607673835
Austria,AUT,2009,74.2867355,64.2022628784179,10.084472621582108,0.1357506498799117
Austria,AUT,2010,75.0373688,65.3712844848632,9.6660843151368,0.1288169410750554
Austria,AUT,2011,73.6302567,63.6200714111328,10.010185288867206,0.1359520628816062
Austria,AUT,2012,71.9470825,62.6737442016601,9.273338298339894,0.1288910957347005
Austria,AUT,2013,75.4718552,64.6502304077148,10.821624792285192,0.14338623005367956
Austria,AUT,2014,74.3084106,64.7715682983398,9.5368423016602,0.12834135765595558
Austria,AUT,2015,74.0309219,65.393684387207,8.637237512792993,0.11667067343103009
Austria,AUT,2016,77.3843155,67.7835464477539,9.600769052246093,0.12406608484178029
Austria,AUT,2017,76.3483658,67.8244705200195,8.523895279980493,0.11164476397974839
Austria,AUT,2018,77.1486359,67.0902862548828,10.058349645117204,0.13037624745763268
Austria,AUT,2019,78.6956177,68.555679321289,10.139938378710994,0.12885010214121484
Austria,AUT,2020,78.8999176,70.2928771972656,8.607040402734398,0.10908807847391717
Austria,AUT,2021,78.7537003,69.2878799438476,9.465820356152406,0.12019524568488632
Austria,AUT,2022,82.4267197,72.6764450073242,9.750274692675802,0.1182902186106989
Austria,AUT,2023,81.6312408,71.4395065307617,10.191734269238296,0.12485090474379137
Bangladesh,BGD,1983,3.45459914,3.08853459358215,0.3660645464178498,0.10596440616778761
Bangladesh,BGD,1985,3.81353164,3.28221750259399,0.5313141374060097,0.1393233851354672
Bangladesh,BGD,1988,3.5017283,2.96319556236267,0.5385327376373299,0.15379055469190167
